MI_dir_L0.1_mean,MI_dir_L0.1_variance,H_L0.1_mean,H_L0.1_variance,HH_L0.1_mean,HH_L0.1_std,HpHp_L0.1_mean,Attack_Binary
386.800004077528,54628.991443396604,386.800004077528,54628.991443396604,59.999999999999986,0.0,60.0,Attack
70.6906831336768,35.378420977012865,70.6906831336768,35.37842097701105,73.9988651812919,0.1260403669218455,74.0,Attack
60.0,0.0,60.0,0.0,59.999999999999986,0.0,60.0,Attack
68.7593376388842,46.0648953713353,68.7593376388842,46.06489537133348,73.9830419832266,0.48695447477507514,74.0,Attack
70.6141585616164,36.731860917210724,70.6141585616164,36.731860917208905,73.9956025640567,0.24808217543814592,74.0,Attack
430.70891533470603,45703.9918464545,430.70891533470603,45703.9918464545,553.975290654659,3.4936808735904226,554.0,Attack
60.0,0.0,60.0,0.0,59.999999999999986,0.0,60.0,Attack
419.73752728640807,48200.3034426206,419.73752728640807,48200.3034426206,59.999999999999986,0.0,60.0,Attack
70.6535733331916,36.6064820044794,70.6535733331916,36.60648200448122,73.9978654235306,0.1728569181374553,74.0,Attack
406.760507846318,51056.346814360906,406.760507846318,51056.346814360906,553.927775250894,5.972755615724921,554.0,Attack
392.842001486156,57631.731333278105,392.842001486156,57631.731333278105,59.999999999999986,0.0,60.0,Attack
415.361278367341,49262.09524349541,415.361278367341,49262.09524349541,553.79029377753,10.1759961282702,554.000000000003,Attack
60.0,0.0,60.0,0.0,59.999999999999986,0.0,60.0,Attack
60.0,0.0,60.0,0.0,59.999999999999986,0.0,60.0,Attack
